Sentence;Degree of Truth;Degree of Support
For almost no records in depression, context_no_day_incoming_calls is low;0.009035759897828568;0.36551724137931035
For some records in depression, context_no_day_incoming_calls is low;0.6576309067688378;0.36551724137931035
For some records in depression, context_no_day_incoming_calls is medium;0.8356114225317101;0.4103448275862069
For almost no records in depression, context_no_day_incoming_calls is high;0.995010663797822;0.2413793103448276
For almost no records in depression, context_avg_day_duration_incoming is low;0.11658127833829471;0.43243243243243246
For some records in depression, context_avg_day_duration_incoming is low;0.5500853883283717;0.43243243243243246
For almost no records in depression, context_avg_day_duration_incoming is medium;0.5507477258525529;0.4864864864864865
For some records in depression, context_avg_day_duration_incoming is medium;0.11591894081411368;0.4864864864864865
For almost no records in depression, context_avg_day_duration_incoming is high;0.5726425157612741;0.3783783783783784
For some records in depression, context_avg_day_duration_incoming is high;0.09402415090539258;0.3783783783783784
For almost no records in depression, context_stddev_duration_incoming is low;0.04234369490436615;0.44
For some records in depression, context_stddev_duration_incoming is low;0.6243229717623002;0.44
For almost no records in depression, context_stddev_duration_incoming is medium;0.5390934097308894;0.44666666666666666
For some records in depression, context_stddev_duration_incoming is medium;0.12757325693577717;0.44666666666666666
For almost no records in depression, context_stddev_duration_incoming is high;0.5759066853451631;0.38
For some records in depression, context_stddev_duration_incoming is high;0.09075998132150356;0.38
For some records in depression, context_no_day_outgoing_calls is low;0.9466611932129161;0.4241379310344828
For almost no records in depression, context_no_day_outgoing_calls is medium;0.25688545010481756;0.38275862068965516
For some records in depression, context_no_day_outgoing_calls is medium;0.40978121656184896;0.38275862068965516
For almost no records in depression, context_no_day_outgoing_calls is high;0.6996618922617501;0.2896551724137931
For some records in depression, context_avg_day_duration_outgoing is low;0.7183352900375879;0.44166666666666665
For almost no records in depression, context_avg_day_duration_outgoing is medium;0.4770790664047221;0.49583333333333335
For some records in depression, context_avg_day_duration_outgoing is medium;0.18958760026194452;0.49583333333333335
For almost no records in depression, context_avg_day_duration_outgoing is high;0.7225654247472547;0.37083333333333335
For some records in depression, context_stddev_duration_outgoing is low;0.7754409137877007;0.457286432160804
